,cumulative_nav,cumulative_nav_withdrawal,id,init_unit_value,nav,price_change,price_date,fund_id,advisor_id_head,company_name_head,fund_id_head,fund_short_name_head,id_head,inception_date_head,initial_unit_value_head,manager_id_head,manager_name_head,nav_head,price_date_head,ret_incep_head,ret_incep_a_head,ret_inception_head,是否分级_head,产品类型_head,投资策略_head,子策略_head
0,0.798700,0.798700,1,1.000000,0.798700,0.0125507099,2016-12-16,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
1,0.788800,0.788800,2,1.000000,0.788800,-0.0729815489,2016-12-09,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
2,0.850900,0.850900,3,1.000000,0.850900,-0.0632981066,2016-12-02,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
3,0.908400,0.908400,4,1.000000,0.908400,-0.1137560976,2016-11-25,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
4,1.025000,1.025000,5,1.000000,1.025000,-0.0363824387,2016-11-18,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
5,1.063700,1.063700,6,1.000000,1.063700,0.0038693847,2016-11-11,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
6,1.059600,1.059600,7,1.000000,1.059600,-0.0207024030,2016-11-04,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
7,1.082000,1.082000,8,1.000000,1.082000,0.0353076261,2016-10-28,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
8,1.045100,1.045100,9,1.000000,1.045100,0.0151529869,2016-10-21,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
9,1.029500,1.029500,10,1.000000,1.029500,0.0034113060,2016-10-14,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
0,1.026000,1.026000,11,1.000000,1.026000,0.0178571429,2016-09-30,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
1,1.008000,1.008000,12,1.000000,1.008000,0.0048848569,2016-09-23,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
2,1.003100,1.003100,13,1.000000,1.003100,-0.0063397722,2016-09-14,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
3,1.009500,1.009500,14,1.000000,1.009500,-0.0001980786,2016-09-09,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
4,1.009700,1.009700,15,1.000000,1.009700,0.0028804132,2016-09-02,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
5,1.006800,1.006800,16,1.000000,1.006800,-0.0014876525,2016-08-26,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
6,1.008300,1.008300,17,1.000000,1.008300,-0.0015843153,2016-08-19,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
