cumulative_nav,cumulative_nav_withdrawal,id,init_unit_value,nav,price_change,price_date,fund_id,advisor_id_head,company_name_head,fund_id_head,fund_short_name_head,id_head,inception_date_head,initial_unit_value_head,manager_id_head,manager_name_head,nav_head,price_date_head,ret_incep_head,ret_incep_a_head,ret_inception_head,是否分级_head,产品类型_head,投资策略_head,子策略_head
1.0353,1.0353,1,1.0,1.0353,0.0038785998,2016-09-23,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0313,1.0313,2,1.0,1.0313,-0.0129211332,2016-09-14,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0448,1.0448,3,1.0,1.0448,0.0047119915,2016-09-09,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0399,1.0399,4,1.0,1.0399,0.0100038850,2016-09-02,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0296,1.0296,5,1.0,1.0296,-0.0025188917,2016-08-26,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0322,1.0322,6,1.0,1.0322,0.0063371356,2016-08-19,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0257,1.0257,7,1.0,1.0257,0.0176604822,2016-08-12,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0079,1.0079,8,1.0,1.0079,0.0041845173,2016-08-05,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0037,1.0037,9,1.0,1.0037,-0.0033760302,2016-07-29,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0071,1.0071,10,1.0,1.0071,-0.0090524451,2016-07-22,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0163,1.0163,11,1.0,1.0163,0.0054412347,2016-07-08,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0108,1.0108,12,1.0,1.0108,0.0053709966,2016-07-01,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0054,1.0054,13,1.0,1.0054,0.0011949811,2016-06-24,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0042,1.0042,14,1.0,1.0042,-0.0107378583,2016-06-17,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0151,1.0151,15,1.0,1.0151,-0.0016719119,2016-06-08,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0168,1.0168,16,1.0,1.0168,0.0135566188,2016-06-03,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0032,1.0032,17,1.0,1.0032,0.0010976948,2016-05-20,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0021,1.0021,18,1.0,1.0021,0.0009989012,2016-05-13,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0011,1.0011,19,1.0,1.0011,-0.0016952533,2016-05-06,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0028,1.0028,20,1.0,1.0028,0.0015980823,2016-04-29,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0012,1.0012,21,1.0,1.0012,-0.0003993610,2016-04-22,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0016,1.0016,22,1.0,1.0016,0.0016000000,2016-04-15,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
1.0,1.0,23,1.0,1.0,None,2016-04-08,HF00001HK9,,None,HF00001HK9,昆仑信托-昆仑三十六号,13938,2016-04-08,1.0,None,None,1.035300,2016-09-23,0.0353,None,0.0353,否,信托,复合策略,复合策略
