,cumulative_nav,cumulative_nav_withdrawal,id,init_unit_value,nav,price_change,price_date,fund_id,advisor_id_head,company_name_head,fund_id_head,fund_short_name_head,id_head,inception_date_head,initial_unit_value_head,manager_id_head,manager_name_head,nav_head,price_date_head,ret_incep_head,ret_incep_a_head,ret_inception_head,是否分级_head,产品类型_head,投资策略_head,子策略_head
0,1.015100,1.015100,1,1.000000,1.015100,0.0013810792,2016-12-09,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
1,1.013700,1.013700,2,1.000000,1.013700,0.0012840774,2016-12-02,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
2,1.012400,1.012400,3,1.000000,1.012400,0.0012857284,2016-11-25,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
3,1.011100,1.011100,4,1.000000,1.011100,0.0013865505,2016-11-18,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
4,1.009700,1.009700,5,1.000000,1.009700,0.0012891710,2016-11-11,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
5,1.008400,1.008400,6,1.000000,1.008400,0.0012908351,2016-11-04,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
6,1.007100,1.007100,7,1.000000,1.007100,0.0013920652,2016-10-28,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
7,1.005700,1.005700,8,1.000000,1.005700,0.0012943051,2016-10-21,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
8,1.004400,1.004400,9,1.000000,1.004400,0.0025953284,2016-10-14,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
9,1.001800,1.001800,10,1.000000,1.001800,0.0013994402,2016-09-30,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
0,1.000400,1.000400,11,1.000000,1.000400,-0.0138984722,2016-09-23,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
1,1.014500,1.014500,12,1.000000,1.014500,0.0009866798,2016-09-14,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
2,1.013500,1.013500,13,1.000000,1.013500,0.0012843312,2016-09-09,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
3,1.012200,1.012200,14,1.000000,1.012200,0.0012859828,2016-09-02,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
4,1.010900,1.010900,15,1.000000,1.010900,0.0013868252,2016-08-26,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
5,1.009500,1.009500,16,1.000000,1.009500,0.0012894267,2016-08-19,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
6,1.008200,1.008200,17,1.000000,1.008200,0.0012910915,2016-08-12,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
7,1.006900,1.006900,18,1.000000,1.006900,0.0013923421,2016-08-05,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
8,1.005500,1.005500,19,1.000000,1.005500,0.0012945628,2016-07-29,HF00001JSI,,None,HF00001JSI,长城国瑞证券恒通23号,16103,2016-06-29,1.0,None,None,1.016200,2016-09-23,0.0162,None,0.0162,是,券商资管,股票策略,股票多头
