date,ID,mode,code,dprice,num,kprice,sum,cash
2015-03-10,macd20_000001,buy,600401,2.89,3114,2.89,8999.460000000001,1000.539999999999
2015-04-24,macd20_000002,sell,600401,3.78,-3114,3.78,-11770.92,12771.46
2015-05-18,macd20_000003,buy,600401,4.3,2673,4.3,11493.9,1277.5599999999995
2015-06-04,macd20_000004,sell,600401,4.66,-2673,4.66,-12456.18,13733.74
2015-06-10,macd20_000005,buy,600401,5.5,2247,5.5,12358.5,1375.2399999999998
2015-06-18,macd20_000006,sell,600401,5.12,-2247,5.12,-11504.64,12879.88
2015-07-23,macd20_000007,buy,600401,3.2,3622,3.2,11590.400000000001,1289.4799999999977
2015-08-26,macd20_000008,sell,600401,2.56,-3622,2.56,-9272.32,10561.799999999997
2015-10-13,macd20_000009,buy,600401,2.42,3927,2.42,9503.34,1058.4599999999973
2015-11-26,macd20_000010,sell,600401,3.05,-3927,3.05,-11977.349999999999,13035.809999999996
2016-02-16,macd20_000011,buy,600401,2.45,4788,2.45,11730.6,1305.2099999999955
2016-02-29,macd20_000012,sell,600401,2.16,-4788,2.16,-10342.08,11647.289999999995
2016-03-11,macd20_000013,buy,600401,2.18,4808,2.18,10481.44,1165.849999999995
